,Andrew,,,Daniel,,,Emma,,,Jennifer,,,Kristen,,,Matt,,,Paul,,,Rob,,,Rosa,,,Sheldon,,,Zendaya,
,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación,,Paso,Variación
29,1316,1.078603316,,812,1.491549745,,318,2.100605867,,153,1.310985332,,91,1.440927934,,172,0.9937021684,,192,0.7792570153,,205,1.666533801,,69,2.435028699,,839,0.7310267857,,,
30,1336,1.064652423,,823,1.483577806,,333,2.079081633,,156,1.302216199,,92,1.413026148,,182,0.9869260204,,227,0.7613201531,,206,1.665736607,,78,2.425063776,,899,0.7298309949,,,
31,1353,1.064253827,,849,1.471619898,,410,2.060746173,,158,1.285076531,,94,1.408242985,,209,0.9590242347,,470,0.755341199,,245,1.64580676,,80,2.378826531,,917,0.7242506378,,,
32,1546,1.061065051,,910,1.463249362,,443,2.056361607,,192,1.277104592,,100,1.394292092,,248,0.9534438776,,597,0.754942602,,251,1.644610969,,83,2.378826531,,931,0.7230548469,,,
33,1677,1.051498724,,1053,1.462850765,,461,2.054368622,,200,1.265146684,,101,1.348453444,,270,0.9390943878,,688,0.7509566327,,273,1.642617985,,93,2.376036352,,976,0.7202646684,,,
34,1689,1.046715561,,1082,1.454878827,,530,2.053172832,,222,1.263552296,,121,1.324537628,,546,0.9363042092,,691,0.7445790816,,280,1.629065689,,105,2.356106505,,1046,0.7194674745,,,
35,1775,1.045121173,,1397,1.451291454,,560,2.043606505,,224,1.232063138,,146,1.320153061,,556,0.9359056122,,723,0.7405931122,,294,1.623086735,,120,2.356106505,,1072,0.7174744898,,,
36,1811,1.040736607,,1721,1.439333546,,566,2.038823342,,226,1.226084184,,176,1.319355867,,776,0.9351084184,,732,0.735411352,,335,1.616709184,,126,2.340959821,,1073,0.7126913265,,,
37,1883,1.036750638,,,,,571,2.026466837,,238,1.222895408,,179,1.315369898,,816,0.9279336735,,746,0.7278380102,,354,1.61192602,,129,2.336176658,,1185,0.7102997449,,,
38,1916,1.029575893,,,,,648,2.024872449,,256,1.208147321,,184,1.306600765,,818,0.911591199,,793,0.7266422194,,378,1.607142857,,131,2.335778061,,,,,,
39,,,,,,,649,2.022480867,,259,1.206552934,,187,1.304209184,,1080,0.9056122449,,803,0.7102997449,,435,1.597975128,,136,2.319435587,,,,,,
40,,,,,,,664,2.018096301,,266,1.203762755,,196,1.302216199,,1408,0.8992346939,,882,0.7091039541,,490,1.596779337,,155,2.305086097,,,,,,
41,,,,,,,690,1.9921875,,285,1.202168367,,198,1.287866709,,1990,0.8980389031,,934,0.7087053571,,537,1.59638074,,161,2.295918367,,,,,,
42,,,,,,,824,1.986607143,,299,1.188217474,,213,1.285873724,,,,,1076,0.6995376276,,591,1.59119898,,163,2.293925383,,,,,,
43,,,,,,,958,1.985012755,,303,1.165497449,,214,1.277901786,,,,,1142,0.696747449,,620,1.582828444,,174,2.280373087,,,,,,
44,,,,,,,995,1.981425383,,332,1.164301658,,230,1.277503189,,,,,1267,0.696348852,,625,1.578842474,,175,2.277582908,,,,,,
45,,,,,,,1002,1.975845026,,349,1.155931122,,231,1.275111607,,,,,1303,0.6931600765,,638,1.568080357,,192,2.27479273,,,,,,
46,,,,,,,1130,1.971061862,,357,1.151546556,,239,1.255580357,,,,,1372,0.690369898,,650,1.556122449,,200,2.272799745,,,,,,
47,,,,,,,,,,360,1.14317602,,249,1.241629464,,,,,1525,0.6887755102,,697,1.554129464,,203,2.272401148,,,,,,
48,,,,,,,,,,423,1.124840561,,332,1.241230867,,,,,1534,0.6819993622,,914,1.549346301,,211,2.266023597,,,,,,
49,,,,,,,,,,,,,352,1.237244898,,,,,1536,0.6812021684,,988,1.540975765,,212,2.242107781,,,,,,
50,,,,,,,,,,,,,397,1.231265944,,,,,1548,0.6752232143,,1123,1.531010842,,217,2.218590561,,,,,,
51,,,,,,,,,,,,,400,1.220503827,,,,,1553,0.6684470663,,1156,1.529017857,,228,2.179129464,,,,,,
52,,,,,,,,,,,,,407,1.219308036,,,,,1564,0.657684949,,1263,1.526626276,,229,2.146444515,,,,,,
53,,,,,,,,,,,,,410,1.216916454,,,,,1584,0.6469228316,,1485,1.512675383,,230,2.135283801,,,,,,
54,,,,,,,,,,,,,482,1.215322066,,,,,1653,0.6437340561,,1489,1.50908801,,242,2.099808673,,,,,,
55,,,,,,,,,,,,,504,1.206552934,,,,,1662,0.6389508929,,1740,1.501514668,,247,2.097417092,,,,,,
56,,,,,,,,,,,,,510,1.205357143,,,,,1744,0.6365593112,,1758,1.500318878,,254,2.096221301,,,,,,
57,,,,,,,,,,,,,527,1.191007653,,,,,1747,0.6357621173,,,,,255,2.089445153,,,,,,
58,,,,,,,,,,,,,621,1.190210459,,,,,1798,0.6337691327,,,,,259,2.085459184,,,,,,
59,,,,,,,,,,,,,636,1.177853954,,,,,,,,,,,260,2.077885842,,,,,,
60,,,,,,,,,,,,,673,1.175462372,,,,,,,,,,,262,2.073501276,,,,,,
61,,,,,,,,,,,,,674,1.162308673,,,,,,,,,,,270,2.072704082,,,,,,
62,,,,,,,,,,,,,675,1.155532526,,,,,,,,,,,271,2.061543367,,,,,,
63,,,,,,,,,,,,,697,1.155133929,,,,,,,,,,,272,2.047592474,,,,,,
